,성별,연령/시도,총계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,Year
0,남성,10대이하,9630,2252,566,209,480,161,279,204,81,2603,245,371,359,364,343,254,649,210,202401
1,남성,20대,536042,52334,26460,24236,32231,18973,18534,13905,3516,148935,21296,24699,31329,21195,23646,31719,35828,7206,202401
2,남성,30대,2316655,314862,124733,109443,145906,66950,71138,56190,24764,691016,68638,84298,118416,70554,75215,116231,148871,29430,202401
3,남성,40대,3961467,501552,213307,192304,227253,118175,112568,100445,44736,1136872,118946,135070,203718,142229,147122,220229,286384,60557,202401
4,남성,50대,4570126,534623,227998,232421,240710,132818,132896,127407,34978,1191799,164560,175919,234313,193782,212749,307888,353720,71545,202401
5,남성,60대,3540186,425720,200019,175752,181378,86030,95622,98550,20779,823860,148609,146215,187758,158689,178278,276442,285261,51224,202401
6,남성,70대,1083761,152278,64058,55012,44840,25649,27325,23753,5312,221074,47720,43502,60646,55778,61926,94629,83517,16742,202401
7,남성,80대,171076,26994,8936,8375,5873,3696,4002,2546,719,37085,9063,7158,9839,9069,9028,14437,11028,3228,202401
8,남성,90대이상,12664,2478,871,642,469,270,271,168,46,2711,457,361,655,754,683,862,755,211,202401
9,남성,계,16201607,2013093,866948,798394,879140,452722,462635,423168,134931,4255955,579534,617593,847033,652414,708990,1062691,1206013,240353,202401
10,여성,10대이하,6947,1218,293,113,2282,86,144,81,33,1325,131,187,184,185,172,115,330,68,202401
11,여성,20대,273541,27096,12443,12853,15793,11834,10205,6136,2459,72619,10605,12973,15597,12328,12349,15687,17688,4876,202401
12,여성,30대,967706,125981,49581,44376,59411,34295,31563,20906,12315,278063,30877,35598,47363,35350,34722,47779,62529,16997,202401
13,여성,40대,1504061,188962,80376,74179,86683,51910,47209,33267,17486,420344,50346,53055,70363,57506,55427,80553,107674,28721,202401
14,여성,50대,1769271,201432,91823,94434,97392,57428,54127,39159,12649,476964,66635,67570,86202,74971,74133,107778,132159,34415,202401
15,여성,60대,1111262,133373,61638,56709,57883,30198,31711,22938,6753,276999,49653,43274,57825,50211,50728,77052,83060,21257,202401
16,여성,70대,230063,36265,13200,12182,9766,5984,5924,3996,1123,55585,10091,8295,11273,10895,10083,15778,15000,4623,202401
17,여성,80대,40178,6857,2137,1808,1650,952,1044,556,193,9696,1595,1399,2003,2264,2260,2561,2474,729,202401
18,여성,90대이상,7910,1250,405,351,325,223,223,126,33,1879,409,210,392,536,435,466,511,136,202401
19,여성,계,5910939,722434,311896,297005,331185,192910,182150,127165,53044,1593474,220342,222561,291202,244246,240309,347769,421425,111822,202401
20,기타,법인 및 사업자,3880194,455577,350986,163778,523261,78876,81016,50257,10609,689161,68258,98109,111182,97889,303301,126539,320084,351311,202401
21,합계,,25992740,3191104,1529830,1259177,1733586,724508,725801,600590,198584,6538590,868134,938263,1249417,994549,1252600,1536999,1947522,703486,202401
22,남성,10대이하,9628,2227,564,211,488,156,269,203,81,2611,245,371,368,366,338,259,657,214,202402
23,남성,20대,533535,52016,26325,24046,32123,18897,18450,13893,3503,148236,21155,24499,31221,21096,23617,31631,35701,7126,202402
24,남성,30대,2301765,311847,124027,108901,145303,66513,70730,55775,24540,686550,68309,83890,117857,69861,74733,115626,148005,29298,202402
25,남성,40대,3961451,501944,213264,191758,227938,118335,112630,100601,44798,1136976,118660,134836,204138,142128,147138,219856,286029,60422,202402
26,남성,50대,4577017,535219,228056,232448,241040,133042,132935,127328,35166,1193576,164687,176318,234959,194433,213216,308291,354614,71689,202402
27,남성,60대,3557732,427108,200531,176332,182488,86529,96162,99157,20931,829340,149266,146859,188856,159462,179213,277649,286449,51400,202402
28,남성,70대,1092496,153144,64525,55449,45215,25744,27437,23907,5377,223201,48147,43953,61204,56181,62301,95543,84339,16829,202402
29,남성,80대,173217,27295,9011,8494,5935,3739,4062,2611,727,37500,9201,7266,9965,9163,9131,14641,11207,3269,202402
30,남성,90대이상,12781,2505,880,646,473,275,272,173,47,2724,461,356,658,756,691,886,768,210,202402
31,남성,계,16219622,2013305,867183,798285,881003,453230,462947,423648,135170,4260714,580131,618348,849226,653446,710378,1064382,1207769,240457,202402
32,여성,10대이하,6889,1206,298,114,2228,86,143,80,35,1332,130,187,183,179,171,115,337,65,202402
33,여성,20대,272341,26834,12402,12749,15742,11762,10142,6151,2441,72324,10518,12941,15568,12316,12316,15673,17630,4832,202402
34,여성,30대,962719,125314,49267,44278,59322,34132,31434,20804,12276,275898,30822,35493,47301,35153,34550,47495,62283,16897,202402
35,여성,40대,1505391,189063,80366,74080,86946,52082,47114,33288,17610,421177,50234,53008,70490,57578,55432,80630,107570,28723,202402
36,여성,50대,1774087,201771,91930,94543,97550,57572,54388,39253,12715,478467,66856,67883,86548,75235,74233,108123,132584,34436,202402
37,여성,60대,1119730,134103,61947,57138,58464,30391,31920,23053,6818,279571,50012,43585,58247,50571,51135,77640,83687,21448,202402
38,여성,70대,232794,36630,13336,12300,9878,6052,5963,4062,1141,56264,10259,8409,11442,10996,10171,16003,15230,4658,202402
39,여성,80대,40328,6907,2142,1809,1669,953,1053,557,195,9771,1607,1406,2002,2238,2247,2561,2477,734,202402
40,여성,90대이상,7905,1251,408,350,321,220,218,126,32,1878,408,213,396,530,438,467,513,136,202402
41,여성,계,5922184,723079,312096,297361,332120,193250,182375,127374,53263,1596682,220846,223125,292177,244796,240693,348707,422311,111929,202402
42,기타,법인 및 사업자,3877741,453974,351727,163726,522227,78633,81405,50380,10641,688045,68289,97796,111039,97663,303358,126415,321518,350905,202402
43,합계,,26019547,3190358,1531006,1259372,1735350,725113,726727,601402,199074,6545441,869266,939269,1252442,995905,1254429,1539504,1951598,703291,202402
44,남성,10대이하,9564,2201,564,204,484,156,266,206,78,2599,241,372,367,370,328,262,652,214,202403
